iter	Logloss
0	0.689180711
1	0.683925532
2	0.6803901878
3	0.675267801
4	0.6715719721
5	0.6688376899
6	0.6638922825
7	0.6602134812
8	0.6564471077
9	0.6505241602
10	0.6450288014
11	0.6404399778
12	0.6368292479
13	0.6321174002
14	0.6290668818
15	0.6253706693
16	0.6217575227
17	0.6177616844
18	0.6144696769
19	0.610631404
20	0.6082259614
21	0.6041213447
22	0.59929866
23	0.5961114773
24	0.5930363545
25	0.59033026
26	0.5868032864
27	0.5850092744
28	0.5816363135
29	0.5779726532
30	0.5742104732
31	0.5711191858
32	0.5683799423
33	0.5653096397
34	0.5612607962
35	0.5572859122
36	0.5538122748
37	0.5499548512
38	0.547340507
39	0.5444798958
40	0.5406644798
41	0.5371965973
42	0.5336760584
43	0.5314140817
44	0.5287862794
45	0.5259249833
46	0.5232159306
47	0.521033606
48	0.5185904855
49	0.5160351157
50	0.5139726238
51	0.510984635
52	0.5083450567
53	0.5053144732
54	0.5027708652
55	0.5002210748
56	0.497191277
57	0.4947615506
58	0.4918740752
59	0.4895176776
60	0.4860387148
61	0.4838651713
62	0.4815171778
63	0.4790260774
64	0.4770963262
65	0.4751286029
66	0.4733204793
67	0.4701795024
68	0.4676698122
69	0.4658871755
70	0.4635355811
71	0.4611455667
72	0.4594204705
73	0.4576553239
74	0.4555228354
75	0.454104416
76	0.4517703527
77	0.4499309837
78	0.448259404
79	0.4458046495
80	0.4444572127
81	0.4427801106
82	0.4408758307
83	0.4388669217
84	0.4377715309
85	0.4361154036
86	0.4332583095
87	0.43121187
88	0.4297051161
89	0.4274415532
90	0.4257307682
91	0.4241726179
92	0.4225898629
93	0.4213363366
94	0.4199415714
95	0.4178041723
96	0.415226555
97	0.413701017
98	0.4118602638
99	0.4105317903
100	0.4082021863
101	0.4067999694
102	0.4048673549
103	0.4028981786
104	0.4014810995
105	0.4001800678
106	0.3978803336
107	0.3956871156
108	0.3939686127
109	0.3921441063
110	0.3911832038
111	0.3900813145
112	0.3886210139
113	0.3868714942
114	0.3858770568
115	0.3839239656
116	0.3824747635
117	0.3800313949
118	0.3790199284
119	0.3773849125
120	0.3763455499
121	0.3749668647
122	0.3729615987
123	0.3714359629
124	0.370204613
125	0.369326855
126	0.368297845
